wallet,token_address,sol_value
J4JDNiKT3yu2zqDmxcLZQbxBefwd5nSP3Qhz4yEzA4uj,55si56A7basZmTovy8zmLkDR9DfaD32GEe6YkvCQpump,50.0
tduxG3xnyEBY7qt8k5ny8yNH1qWdcQiYTQjkieApnMX,9uGHyPu3kC3vbxZRN5AkLfPWGUyLvzL4UKuUzoB16Ls9,8.63
J4JDNiKT3yu2zqDmxcLZQbxBefwd5nSP3Qhz4yEzA4uj,CWFa2nxUMf5d1WwKtG9FS9kjUKGwKXWSjH8hFdWspump,50.0
8zMdhSMtycyeTkTWA1ECuZgGBi8fNKZEgpVR2zAc7J15,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,40.0
AhCdQDuHfDvFG684525z9Y2txgF9vkpTJ6WwUGn8fsE8,GhE3jvBtMNLhYyqSxDYYMHWUgQD7RMpEkoqaMmRHpump,20.0
BKSXx2D2RJYBM7ZL5aTnA8TCW5P3DhG3VYFk1ZsguAKD,FLqmVrv6cp7icjobpRMQJMEyjF3kF84QmC4HXpySpump,10.0
DYyzgwDGaN23gdr2C1xp35xojiDss9pUcYiY7wXqqknB,BZynczxXkKoYvy6UCApLMzkesH6DtNYWDPsCsSsVp4Pw,6.94
EtMUbaPw7rTJj2M6WrsEfhGAN9gSTLPJtQ21oLk1kfhP,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,86.76
F6KZPr5ZBBnQZbRE34rerxgbXJDnJdaGCa6Z24n5di52,5YdKoUtpZ3V3j7gvBpL4SyU8LrtEQnkca7PgEqwpump,7.05
2WJvjGFjZePB3sYrHKMBQd46o1TCS8zxchEHnDK7oBxQ,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,100.0
Fnhh2bHX47uJJgaVxejE8qYE9xdKGMxMngZQrFtZsw4H,BieefG47jAHCGZBxi2q87RDuHyGZyYC3vAzxpyu8pump,20.0
3wuUJDz65atnCpasBJH7xqBbr2iX8ejWmV177umuN3H6,wUtwjNmjCP9TTTtoc5Xn5h5sZ2cYJm5w2w44b79yr2o,19.0
F6UsE5AeTr8y75NdtYL8uf3aDZwuzeAD1Q29GXw3iPuU,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,20.0
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,DwDtUqBZJtbRpdjsFw3N7YKB5epocSru25BGcVhfcYtg,20.94
FTyqRc9UMp3TLK4A4Vp6g5mVUv6hFmbiR2kuXBkJEscj,SsKFgDPEqyzAM8nWPiiX7MGY7iNDTEX6DxRdxmkpump,10.0
BGC1NYm9FzZYr5w9zStZ9rVwab9cDFbfyaRgpwpUdGFS,F4Lyq5tJJGwEo1hhLweQPg6xG1aVKv4SZqAmDBQepump,17.0
EfR49P7rorwTcyd9GavMTsmEE6Hb2jhCbEu45ng9og6P,GiG7Hr61RVm4CSUxJmgiCoySFQtdiwxtqf64MsRppump,5.39
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,H2c31USxu35MDkBrGph8pUDUnmzo2e4Rf4hnvL2Upump,20.94
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,wUtwjNmjCP9TTTtoc5Xn5h5sZ2cYJm5w2w44b79yr2o,20.99
G1TVaxpCJLnYXYBbi5rj2izPKzZJdiUvpFcBPU587oC,9se6kma7LeGcQWyRBNcYzyxZPE3r9t9qWZ8SnjnN3jJ7,10.19
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,8SgNwESovnbG1oNEaPVhg6CR9mTMSK7jPvcYRe3wpump,20.94
8eSMJTdHwQykchbUGXq3KMBoScCNBRyCHJSzeaRPzKNu,HgBRWfYxEfvPhtqkaeymCQtHCrKE46qQ43pKe8HCpump,8.13
xWEdcaQMge6XBGgDDgsJW4rJ7xpGNCG6VHm8gFyvaMu,CNvitvFnSM5ed6K28RUNSaAjqqz5tX1rA5HgaBN9pump,47.24
5sdSX13aeHWFDc7EmqneM3qEDEUKE2xV3q92miZH6qBo,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,5.03
2P7bwj6j2V3MSAxRiVhCm8rgPsNwq6vzQyJuUjmp71Ki,CNKEXXypBC66cZ111Mg3JUxyczXS1E9T6MWEufzQZVMo,9.92
HEr4Pa3gjXQavHF2VQUXCmhvYF9sE4joTMHHN8exRkEs,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,24.61
HGrg3Y6UsLUTbcnwVPA7aSFEjupXrwXywsqGEik5YToK,488yeP6zRRCePWxbEuD2erTvx96eMtZEzC7a1frrpump,9.0
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,21.03
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,AxGAbdFtdbj2oNXa4dKqFvwHzgFtW9mFHWmd7vQfpump,20.95
8m3Mjgz5oJCFaX27oedkKH7ocAs8okV3PhFcm4qhdLoc,HwPtbFpd3VTe3tfyosoVtPf9WPuSk5gAKkN5xp6Npump,91.27
G4VqFQqdtjVJqZ3gyxS7RZ7utzNqncJy28ixujicmwTx,6cvrZWgEUkr82yKAmxp5cQu7wgYYBPULf16EUBp4pump,6.22
7hDscZFSwjzkK22XUu2AZ4cRnx7YyKk9Ae2aErwN5Zfk,GhE3jvBtMNLhYyqSxDYYMHWUgQD7RMpEkoqaMmRHpump,20.0
H2gUJHq7toz84vvfSYjHtdvBj9HUKcwvGodJ8CBZeHw2,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,9.8
Ccr7RV8sfVa4YTokX4X8TBtduKExweZ22mrBFdvrUBk1,HwPtbFpd3VTe3tfyosoVtPf9WPuSk5gAKkN5xp6Npump,10.0
